   MULLIKEN OVERLAP POPULATIONS
  i      j                   value 
    0     0    2.5947086309675171e-01
    1     0    6.3080679629646141e-01
    1     1    8.7282353800230494e-01
    2     0    6.7308913616233601e-01
    2     1    9.0495714493796520e-01
    2     2    8.6080596432182666e-01
    3     0   -1.5458101920304521e-01
    3     1    8.7956814513307866e-03
    3     2    2.6691499863925560e-02
    3     3    9.3880446839083809e-01
    4     0   -1.2763249285721928e-01
    4     1    4.7761485452958906e-02
    4     2    6.4142176683538055e-02
    4     3    9.4965186260399270e-01
    4     4    1.0148392494530407e+00
    5     0    7.8292870244437263e-02
    5     1   -1.0456024949802511e-03
    5     2   -8.9374548753475558e-03
    5     3   -4.8605736692530305e-01
    5     4   -5.8993392168718939e-01
    5     5   -4.9043551592179224e-01
    6     0   -3.7138895054905731e-02
    6     1   -2.8604828006131380e-03
    6     2    1.0967010980910510e-03
    6     3    2.0703082049498148e-01
    6     4    2.2114857397746568e-01
    6     5    1.2031268865958111e-01
    6     6    3.7136263052046176e-02
    7     0   -2.0129115613952449e-16
    7     1   -1.8005763339136025e-17
    7     2   -9.8480390013786651e-18
    7     3    1.1576818086078115e-15
    7     4    9.0638982926640230e-16
    7     5    1.3388795733012900e-16
    7     6   -6.8561788301741049e-16
    7     7    4.2016270879248308e-01
    8     0   -1.4585851780147593e-16
    8     1   -2.1654082308914515e-16
    8     2   -2.4415995577096965e-16
    8     3    1.2822872331824698e-16
    8     4    3.7893721493446937e-17
    8     5   -7.0832355984795159e-16
    8     6   -6.7126755425242660e-16
    8     7    1.2643621621783912e-15
    8     8    4.2016270879248152e-01
    9     0   -1.8958158062843670e-02
    9     1   -2.1801735949139316e-03
    9     2    1.2547131677958900e-03
    9     3    7.2106800750972908e-02
    9     4    5.5412099974303811e-02
    9     5    4.0256130609778756e-02
    9     6    2.1493999254403852e-02
    9     7   -6.4525506233136625e-17
    9     8    1.7528379796633785e-16
    9     9    3.8690494399632913e-01
   10     0    1.9154509805215742e-16
   10     1    2.4944406782557711e-17
   10     2   -8.8322883271854685e-18
   10     3   -1.0476794898534576e-15
   10     4   -1.7416573770830601e-15
   10     5   -1.7613193847265190e-15
   10     6   -1.7889999335644077e-15
   10     7    5.4473752925711760e-01
   10     8    2.4598341279277918e-15
   10     9    5.9590780560019028e-16
   10    10    7.4022865625542777e-01
   11     0   -1.9492935992776971e-16
   11     1   -8.2328295610199562e-17
   11     2   -1.1212505995462648e-16
   11     3    1.0917672222117332e-15
   11     4    9.2964886912115672e-16
   11     5   -6.1465051300284168e-16
   11     6   -8.9165473489823136e-16
   11     7    1.9860767670287230e-15
   11     8    5.4473752925711683e-01
   11     9   -2.8549345652780373e-16
   11    10    2.2902353805122610e-15
   11    11    7.4022865625542644e-01
   12     0   -1.3403261284592830e-02
   12     1    6.7359344981347408e-03
   12     2    1.0252018467962165e-02
   12     3    7.0500866973709705e-02
   12     4    4.4660334472642844e-02
   12     5    3.4077692097603154e-02
   12     6    1.9648154156555159e-02
   12     7   -2.7053501047950706e-15
   12     8   -8.9238108695598172e-16
   12     9    4.9447743607034994e-01
   12    10   -3.5520983549803153e-15
   12    11   -1.4160602928315448e-15
   12    12    7.0137660313966632e-01
   13     0   -2.5928775405981436e-15
   13     1   -1.8681765280620202e-15
   13     2   -1.6608734400828064e-15
   13     3    7.2231985832624240e-15
   13     4    8.7590905270512663e-15
   13     5    6.1928277935871987e-15
   13     6    2.4363297982330552e-15
   13     7    3.6567372164311457e-01
   13     8    1.6625332196162815e-15
   13     9   -9.5385941831483138e-16
   13    10    4.9697496733065577e-01
   13    11    2.0228145344124597e-15
   13    12   -2.0716563979434160e-15
   13    13    4.2552417895046923e-01
   14     0   -4.2431933013028603e-16
   14     1   -5.7539249989303964e-16
   14     2   -5.7465732451230493e-16
   14     3    4.1599990134475525e-17
   14     4    2.2032423188488562e-19
   14     5   -2.9623719048949595e-16
   14     6   -6.9410416304787711e-17
   14     7    1.4043037497259991e-15
   14     8    3.6567372164309397e-01
   14     9    1.3355721787322890e-15
   14    10    1.8068420545883073e-15
   14    11    4.9697496733063018e-01
   14    12    1.6802985216242255e-15
   14    13    1.0310983486967231e-15
   14    14    4.2552417895045536e-01
   15     0   -1.2928317705391323e-02
   15     1    8.2041953367647229e-03
   15     2    1.0861289230634110e-02
   15     3    9.2100674458239967e-02
   15     4    7.8634067759599899e-02
   15     5    4.8643919543972430e-02
   15     6    2.5269150801378645e-02
   15     7   -5.4194776810164465e-14
   15     8   -7.3344404239191155e-14
   15     9    2.5731803570473644e-01
   15    10   -7.4692697771441236e-14
   15    11   -9.7504652700784834e-14
   15    12    3.6436901527933402e-01
   15    13   -6.6918484770578115e-14
   15    14   -7.7319611626559154e-14
   15    15    2.9674877295632679e-01
   16     0   -4.2873359711617135e-15
   16     1   -6.0109968445918625e-16
   16     2   -1.7709767177971510e-16
   16     3    2.3351476335327935e-14
   16     4    2.7150839623726771e-14
   16     5    1.7961333315553024e-14
   16     6    7.2959939315251314e-15
   16     7    6.4612877124630846e-02
   16     8    7.6352299072462424e-16
   16     9   -5.7510563125747527e-15
   16    10    8.8632100237346453e-02
   16    11    2.0355074556397152e-15
   16    12   -1.0305949715135175e-14
   16    13    7.8217819458820559e-02
   16    14    4.5876882843533018e-15
   16    15   -9.3816927882956912e-15
   16    16    4.1645790779738838e-02
   17     0    6.1290047438827187e-16
   17     1   -6.6418784883760216e-16
   17     2   -7.4137597177378645e-16
   17     3   -6.9419339536987160e-15
   17     4   -7.4446730522083362e-15
   17     5   -2.5712663104342497e-15
   17     6    8.9317561355117358e-16
   17     7   -1.2245662255405372e-16
   17     8    6.4612877124534743e-02
   17     9    5.0540967306530629e-15
   17    10    3.1375007047063087e-16
   17    11    8.8632100237225328e-02
   17    12    7.5074513449433360e-15
   17    13    1.5709639770012838e-15
   17    14    7.8217819458743884e-02
   17    15    3.5686354491963901e-15
   17    16    2.2023855173790360e-15
   17    17    4.1645790779731059e-02
   18     0    4.2520988337869962e-03
   18     1    2.7645472832642025e-03
   18     2    2.3335631599372144e-03
   18     3   -1.1760914636276305e-02
   18     4   -1.4891251948136333e-02
   18     5   -1.6201222653940049e-02
   18     6   -1.1032187349405646e-02
   18     7   -8.2872577177050213e-14
   18     8   -2.4175535089725702e-13
   18     9   -1.6566444603182854e-02
   18    10   -1.2244269368884629e-13
   18    11   -3.2432869311770468e-13
   18    12   -2.2227226693312965e-02
   18    13   -1.3274851010060235e-13
   18    14   -2.6567200523535601e-13
   18    15   -9.3775621541801156e-03
   18    16   -9.7647652632933269e-14
   18    17   -1.1903461875826412e-13
   18    18    4.2186627372349768e-03
   19     0   -9.1198790996713392e-16
